station_name,latitude,longitude
BANGAON JUNCTION,22.710047,88.7108964
SUBHAS GRAM RAILWAY STN,22.1366735,88.556531
TINICH RAILWAY STN,26.5055381,82.4197476
ATA RAILWAY STN,26.0461978,79.60248
SANKRALL RAILWAY STN,22.5488007,88.2035057
ABADA RAILWAY STN,22.5488007,88.2035057
MANPUR JUNCTION,25.2041037,84.6490591
ABHAIPUR RAILWAY STN,25.2166745,86.320562
ABHANPUR JUNCTION,21.0506028,81.7400203
ABOHAR RAILWAY STN,30.146861,74.2008185
ABU ROAD RAILWAY STN,24.5925909,72.7156274
KORARI RAILWAY STN,26.4410234,80.5445395
ACHALGANJ RAILWAY STN,26.4410234,80.5445395
ACHALPUR RAILWAY STN,21.2550057,77.509621
MELMARUVATTUR RAILWAY STN,12.4077243,79.8170251
ACHARAPAKKAM RAILWAY STN,12.4077243,79.8170251
ACHALDA RAILWAY STN,26.7155368,79.4165048
ACHHNERA JUNCTION,27.1773695,77.7537913
MANDI ADAMPUR RAILWAY STN,29.2822533,75.4715692
ADAPUR RAILWAY STN,26.925313,84.9420169
SALPA RAILWAY STN,17.8968364,74.2003231
ADARKI RAILWAY STN,17.8968364,74.2003231
ADAS ROAD RAILWAY STN,22.4826238,73.0309348
JALPUR RAILWAY STN,27.5705886,80.0981869
ADESAR RAILWAY STN,23.5580562,70.9814281
ADHIKARI RAILWAY STN,22.9867569,87.8549755
ADHINPUR RAILWAY STN,27.171113,82.278697
ADILABAD RAILWAY STN,19.6765668,78.5320841
ADINA RAILWAY STN,25.1374349,88.1523157
ADIPUR RAILWAY STN,23.0732453,70.0880704
ATIRAMPATTINAM RAILWAY STN,10.3413175,79.3796453
ADITYAPUR RAILWAY STN,22.7866185,86.165969
ADIYAKKAMUNGALM RAILWAY STN,10.7612556,79.6768724
SIVADI RAILWAY STN,12.0743794,78.123623
MUKHASA PARUR RAILWAY STN,12.4697526,78.5677913
ADONI RAILWAY STN,15.6318824,77.2758833
ADRAJ MOTI RAILWAY STN,23.264317,72.5737187
ADUTURAI RAILWAY STN,11.0139792,79.475133
AGARPARA RAILWAY STN,22.683442,88.3931185
AGARTALA RAILWAY STN,23.831457,91.2867777
AGAS RAILWAY STN,22.4884288,72.8781322
SEMARKHERI RAILWAY STN,24.2799298,78.1735438
AGASOD RAILWAY STN,24.2799298,78.1735438
,10.8575607,72.1934421
BANKATA RAILWAY STN,26.2740846,84.0917148
AGHWANPUR RAILWAY STN,29.4194151,78.6994326
